file,sheet,field,dtype,non_null_rate,unique_count,sample_values_masked,possible_entity,possible_metric,notes
绩效与商家销售额汇总\01_绩效\绩效额外附加表格.xlsx,绩效指标参考,绩效计算表,text_or_mixed,0.8125,10,有效新开数 | Y ≥5 | Y =4,,,date_range=..
绩效与商家销售额汇总\01_绩效\绩效额外附加表格.xlsx,绩效指标参考,<blank_2>,text_or_mixed,0.6250,8,对应每家计件奖金（元） | 400 | 300,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,月份,date_candidate,1.0000,5,2026-03 | 2026-04 | 2026-02,,,date_range=2026-01-01..2026-05-01
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,商务对接人,text_or_mixed,1.0000,1,高运 | 高运 | 高运,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,非重点品增量gmv,text_or_mixed,1.0000,5,1823.440000000002 | 40631.21000000004 | 997.2699999999531,,GMV,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,重点品增量gmv,text_or_mixed,1.0000,5,212652.33 | 590020.43 | 49572.48,,GMV,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,开店商业数,text_or_mixed,0.8000,4,7 | 4 | 3,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,首单商业数,text_or_mixed,1.0000,3,4 | 5 | 1,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,有效新开数,text_or_mixed,1.0000,5,0.6000000000000001 | 0.4 | 1.2,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月订单数,text_or_mixed,1.0000,5,76348 | 66568 | 62084,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月商家原因售后订单数,text_or_mixed,1.0000,5,1434 | 1196 | 1285,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,上月订单数,text_or_mixed,1.0000,5,61139 | 76348 | 85371,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,上月商家原因售后订单数,text_or_mixed,1.0000,5,1277 | 1434 | 1635,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月商家原因售后订单率,text_or_mixed,1.0000,5,<PHONE_MASKED> | <PHONE_MASKED> | 0.02069776431930932,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,上月商家原因售后订单率,text_or_mixed,1.0000,5,0.02088683164592159 | <PHONE_MASKED> | <PHONE_MASKED>,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月商家原因售后订单率环比,text_or_mixed,1.0000,5,<PHONE_MASKED> | -0.04343566553813449 | <PHONE_MASKED>,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,售后备注,text_or_mixed,1.0000,2,无事发生 | 无事发生 | 绩效扣除10%,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,补充新开系数,text_or_mixed,1.0000,1,0 | 0 | 0,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,新开系数,text_or_mixed,1.0000,5,0.6 | 0.4 | 1.2,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,对应每家计件奖金,text_or_mixed,1.0000,1,0 | 0 | 0,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,破峰提成系数,text_or_mixed,1.0000,1,0 | 0 | 0,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,月份,date_candidate,1.0000,18,202504 | 202509 | 202412,,,date_range=2024-12-01..2026-05-01
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,商务对接人1,text_or_mixed,1.0000,1,高运 | 高运 | 高运,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,当月订单数,text_or_mixed,1.0000,18,94913 | 83912 | 103462,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,当月商家原因售后订单数,text_or_mixed,1.0000,18,3540 | 1866 | 3982,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,上月订单数,text_or_mixed,1.0000,18,99465 | 84192 | 0,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,上月商家原因售后订单数,text_or_mixed,1.0000,18,3774 | 1672 | 0,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,当月商家原因售后订单率,text_or_mixed,1.0000,18,0.03729731438264516 | 0.02223758222900181 | 0.03848756065028706,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况统计,上月商家原因售后订单率,text_or_mixed,0.9444,17,0.03794299502337506 | <PHONE_MASKED> | 0.03730596157696726,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,月份,date_candidate,1.0000,18,202506 | 202505 | 202602,,,date_range=2024-12-01..2026-05-01
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,供应商ID,text_or_mixed,1.0000,107,1350 | 11905 | 21964,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,供应商名称,text_or_mixed,1.0000,107,希尔康 | 贰美医疗 | 四川承泰仁商贸,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,商业开店日期,date_candidate,1.0000,97,20170814 | 20230214 | 20250619,merchant_supplier,,date_range=2016-12-26..2026-05-18
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,当月订单数,text_or_mixed,1.0000,1007,1762 | 1859 | 350,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,上月订单数,text_or_mixed,1.0000,969,2241 | 1877 | 396,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,当月售后订单数,text_or_mixed,1.0000,240,118 | 53 | 12,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,上月售后订单数,text_or_mixed,1.0000,239,134 | 49 | 6,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,当月商家原因售后订单数,text_or_mixed,1.0000,168,70 | 30 | 3,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,上月商家原因售后订单数,text_or_mixed,1.0000,168,88 | 33 | 1,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,商务对接人,text_or_mixed,0.1291,5,高运 | 高运 | 蓝通,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,供应商省份,text_or_mixed,1.0000,6,四川省 | 四川省 | 四川省,merchant_supplier;region,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,运营名称,text_or_mixed,0.8999,1,高运 | 高运 | 高运,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,对应人,text_or_mixed,1.0000,1,高运 | 高运 | 高运,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,当月商家原因售后订单率,text_or_mixed,1.0000,1159,0.03972758229284903 | <PHONE_MASKED> | <PHONE_MASKED>,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,上月商家原因售后订单率,text_or_mixed,1.0000,1096,0.0392681838464971 | <PHONE_MASKED> | <ID_MASKED>,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业售后情况,商家原因售后订单率环比,text_or_mixed,1.0000,1162,<PHONE_MASKED> | <PHONE_MASKED> | 2.394285714285714,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,供应商ID,text_or_mixed,1.0000,112,720 | 1140 | 1142,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,供应商名称,text_or_mixed,1.0000,112,丽康琴保健品 | 都尔东康 | 普宁普慈,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,供应商证件名称,text_or_mixed,1.0000,112,四川丽康琴保健用品有限公司 | 成都市尔东康商贸有限公司 | 普宁市普慈医疗器械有限公司,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,供应商省份,text_or_mixed,1.0000,6,四川省 | 四川省 | 广东省,merchant_supplier;region,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,供应商城市,text_or_mixed,1.0000,15,成都市 | 成都市 | 揭阳市,merchant_supplier;region,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,商业类型,text_or_mixed,0.1875,5,普通店 | 普通店 | 普通店,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,商业开店日期,date_candidate,1.0000,102,20161226 | 20170620 | 20170620,merchant_supplier,,date_range=2016-12-26..2026-05-18
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,商业首单日期,date_candidate,1.0000,107,20161230 | 20170622 | 20170628,merchant_supplier,,date_range=2016-12-30..2026-05-19
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,状态,text_or_mixed,1.0000,3,有效 | 有效 | 有效,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202605,text_or_mixed,0.7679,86,45940.83 | 10032.2 | 91629.28,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202604,text_or_mixed,0.7411,83,58840.04 | 8755 | 65136.35,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202603,text_or_mixed,0.6964,78,62467.27 | 13328.92 | 82024.43,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202602,text_or_mixed,0.6964,78,70088.97 | 12426.74 | 72862.61,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202601,text_or_mixed,0.8839,82,73712.78 | 17911.74 | 149577.84,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202512,text_or_mixed,0.8839,81,72230.27 | 12727.05 | 198022.37,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202511,text_or_mixed,0.8839,81,76806.85 | 14072.88 | 222823.29,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202510,text_or_mixed,0.8839,79,87872.37 | 13953.8 | 145541.41,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202509,text_or_mixed,0.8839,81,80322.08 | 21033.3 | 134313.87,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202508,text_or_mixed,0.8839,80,89271.63 | 10524.84 | 144887.29,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202507,text_or_mixed,0.8839,78,73174.31 | 11677.14 | 207450.55,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202506,text_or_mixed,0.8839,77,78464.7 | 14282.8 | 190865.97,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202505,text_or_mixed,0.8839,78,97959.95 | 14085.48 | 257435.33,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202504,text_or_mixed,0.8839,79,124454.34 | 15196.01 | 265300.85,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202503,text_or_mixed,0.8839,79,119142.63 | 17008.05 | 261222.86,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202502,text_or_mixed,0.8839,81,107345.95 | 20444.08 | 224217.26,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202501,text_or_mixed,0.8839,82,216985.04 | 17273.34 | 225821.26,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202412,text_or_mixed,0.8839,83,150581.05 | 14806.84 | 307224.83,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202411,text_or_mixed,0.8839,84,136574.85 | 19474.04 | 283024.62,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202410,text_or_mixed,0.8839,82,136677.4 | 24433.22 | 258433.73,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202409,text_or_mixed,0.8839,80,117741.45 | 26263.16 | 322827.73,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202408,text_or_mixed,0.8839,80,132710.36 | 27668.12 | 383287.12,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202407,text_or_mixed,0.8839,81,140849.12 | 21594.92 | 352134.91,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202406,text_or_mixed,0.8839,75,176356.95 | 15325.17 | 384078.32,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202405,text_or_mixed,0.8839,71,185884.52 | 27544.12 | 262181.09,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202404,text_or_mixed,0.8839,71,190726.12 | 17629.62 | 248564.99,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202403,text_or_mixed,0.8839,68,223305.45 | 33861.84 | 279775.63,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202402,text_or_mixed,0.8839,67,107883.01 | 25800.44 | 194033.84,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202401,text_or_mixed,0.8839,66,204531.16 | 31221.48 | 291853.49,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202312,text_or_mixed,0.8839,64,179684.17 | 38456.3 | 335202.99,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202311,text_or_mixed,0.8839,62,196952.79 | 36813.98 | 281698.8,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202310,text_or_mixed,0.8839,62,175128.9 | 35522.49 | 284781.81,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202309,text_or_mixed,0.8839,59,203764.25 | 21204.53 | 243603.64,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202308,text_or_mixed,0.8839,56,206641.73 | 15569.83 | 271599.21,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202307,text_or_mixed,0.8839,56,103920.98 | 13538.42 | 389289.37,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202306,text_or_mixed,0.8839,54,134010.7 | 24475.04 | 345989.87,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202305,text_or_mixed,0.8839,54,173251.53 | 19688.57 | 446453.14,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202304,text_or_mixed,0.8839,51,135352.06 | 25896.85 | 354956.25,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202303,text_or_mixed,0.8839,47,90928.92 | 27909 | 486720.85,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202302,text_or_mixed,0.8839,45,70492.37 | 59331.61 | 529731.56,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,a202301,text_or_mixed,0.8839,41,42698.89 | 70780.94 | 367291.87,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,商务对接人,text_or_mixed,0.3125,5,蓝通 | 高运 | 王子翔（医械）,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,简称,text_or_mixed,1.0000,112,丽康琴保健品 | 都尔东康 | 普宁普慈,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,运营名称,text_or_mixed,0.7679,1,高运 | 高运 | 高运,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,对应人,text_or_mixed,1.0000,1,高运 | 高运 | 高运,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,主店铺ID,text_or_mixed,1.0000,99,720 | 1140 | 1142,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,商业每月GMV,合并统计店铺,text_or_mixed,1.0000,99,丽康琴保健品 | 都尔东康 | 普宁普慈,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,供应商ID,text_or_mixed,1.0000,22,22679 | 22862 | 22917,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,商业开店日期,date_candidate,1.0000,20,20250829 | 20250918 | 20250925,merchant_supplier,,date_range=2025-08-29..2026-05-21
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,商业首单日期,date_candidate,1.0000,20,20250917.0 | 20251017.0 | 20250926.0,merchant_supplier,,date_range=2025-09-17..2026-05-19
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,供应商省份,text_or_mixed,1.0000,5,江西省 | 四川省 | 四川省,merchant_supplier;region,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,状态,text_or_mixed,1.0000,2,有效 | 有效 | 有效,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,商业保证金,text_or_mixed,1.0000,3,100000 | 100000 | 100000,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,保证金余额,text_or_mixed,1.0000,13,100000 | 99936.6 | 98898.52,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,business_scope,text_or_mixed,0.9902,19,"6,7,8,12,21 | 0,2,6,8,21,28 | 0,2,3,6,7,8",,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,主营业务关键词,text_or_mixed,0.9902,19,"外用,生活用品,化妆品,计生用品,消毒用品 | 医疗器械,生活用品,计生用品,食品,消毒用品,保健品 | 医疗器械,生活用品,化妆品,计生用品,营养品,保健品",,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,type_scope,text_or_mixed,0.0000,0,,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,busi_scope,text_or_mixed,1.0000,15,"10,11,12,9 | 19,16,12,11,10,9,8,6 | 19,16,12,11,10,9,8,6",,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,分类经营范围,text_or_mixed,0.0000,0,,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,商品经营范围,text_or_mixed,1.0000,13,"日用品,医疗器械（一类）,消毒产品,化妆品 | 日用品,医疗器械（一类）,食品,医疗器械（二类）,医疗器械（二类免备案）,... | 日用品,医疗器械（一类）,食品,医疗器械（二类）,医疗器械（二类免备案）,...",product,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,冻结状态,text_or_mixed,1.0000,2,0 | 0 | 0,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,实时在架sku数,text_or_mixed,1.0000,20,35 | 118 | 940,product,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,主店铺ID,text_or_mixed,1.0000,21,22679 | 22862 | 22917,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,月份,date_candidate,0.9902,17,2026-05 | 2026-05 | 2026-05,,,date_range=2025-01-01..2026-05-01
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,GMV,text_or_mixed,0.9902,92,22401.9 | 90271.63 | 293830.81,,GMV,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,新开商业情况,之前月份的峰值,text_or_mixed,0.9902,45,36585.54 | 476864.78 | 558654.71,,,date_range=..
